Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"21 OCEAN WAY, SINGAPORE 098374",Hotel,Large,No,2012.0,2010.0,Platinum,Yes,23800.0,0.5586554621848739,70.0,240.0,Water Cooled Chilled Water Plant,5.0,,,60.0,N,399.51385084033615,402.4521638655462,404.5109663865546,Worsened,Bottom Quartile,Y,098374,1.24615202701928,103.842698514086,SOUTHERN ISLANDS
"10 HOE CHIANG ROAD, SINGAPORE 089315",Office,Large,No,1991.0,,,No,52945.0,0.7780146233010153,81.0,,Water Cooled Chilled Water Plant,6.0,0.64,2010.0,0.0,N,159.43382755689868,165.5195958069695,155.54847483237322,Improved,2nd Quartile,Y,089315,1.27440248919531,103.842238244254,DOWNTOWN CORE
"30 CECIL STREET, SINGAPORE 049712",Office,Large,No,1998.0,2017.0,GoldPlus,Yes,27699.0,1.0,95.0,,Water Cooled Chilled Water Plant,2.0,0.65,2017.0,35.0,N,183.32335463374127,174.57755153615653,137.41775515361567,Improved,Top Quartile,Y,049712,1.2827970957662,103.849887722614,DOWNTOWN CORE
"181 ORCHARD ROAD, SINGAPORE 238896",Retail,Large,No,2009.0,,,No,29595.0,0.8,80.0,,Water Cooled Chilled Water Plant,7.0,,,45.0,N,644.8589930731542,650.9698344314918,770.34752491975,Worsened,Bottom Quartile,Y,238896,1.30083890839245,103.839434733899,ORCHARD
"29 INTERNATIONAL BUSINESS PARK, SINGAPORE 609923",Office,Large,No,1998.0,,,No,25044.0,0.9791566842357451,71.0,,Water Cooled Chilled Water Plant,4.0,,,10.0,N,153.23127615396902,140.9909403449928,138.8983469094394,Improved,2nd Quartile,Y,609923,1.3269753754609,103.746325536541,JURONG EAST
"7 INTERNATIONAL BUSINESS PARK, SINGAPORE 609919",Office,Small,No,1997.0,,,No,8500.0,0.8235294117647058,54.0,,Water Cooled Packaged Unit,2.0,,,20.0,N,163.15044823529414,137.1109411764706,126.58865294117648,Improved,Top Quartile,Y,609919,1.325567780105,103.74984668216,JURONG EAST
"27 INTERNATIONAL BUSINESS PARK, SINGAPORE 609924",Office,Small,No,1997.0,,,No,8677.0,0.8643540394145443,34.0,,"Others (Split Units, Unitary Systems)",2.0,,,10.0,N,135.93307479543623,117.4810153278783,106.44214244554571,Improved,Top Quartile,Y,609924,1.32568704890794,103.746989185936,JURONG EAST
"3 HAVELOCK SQUARE, SINGAPORE 059725",Office,Small,Yes,2001.0,,,No,10700.0,0.85,100.0,,"Others (Split Units, Unitary Systems)",1.0,,,31.0,N,153.135638317757,142.46931308411214,139.67307476635514,Improved,2nd Quartile,Y,059725,1.28704246316243,103.843848184006,OUTRAM
"512 THOMSON ROAD, SINGAPORE 298136",Office,Large,Yes,1986.0,,,No,19761.0,0.5489600728708062,100.0,,Water Cooled Chilled Water Plant,10.0,0.91,2010.0,90.0,N,186.53095592328322,145.59047416628715,146.60078842163855,Worsened,2nd Quartile,Y,298136,1.33371661741466,103.839419153542,TOA PAYOH
"510 THOMSON ROAD, SINGAPORE 298135",Office,Large,No,1986.0,,,No,21090.0,0.8053105737316264,90.0,,Water Cooled Chilled Water Plant,10.0,0.88,2010.0,90.0,N,159.33211284969178,148.81934660976765,131.87668990042675,Improved,Top Quartile,Y,298135,1.33319804101121,103.839109146398,TOA PAYOH
"2 HAVELOCK ROAD, SINGAPORE 059763",Retail,Large,No,2016.0,,,No,19970.0,0.8335503254882324,50.0,,"Others (Split Units, Unitary Systems)",2.0,,,55.0,N,49.47058087130696,188.6733600400601,239.2979719579369,Worsened,2nd Quartile,Y,059763,1.28715061616661,103.845153736863,SINGAPORE RIVER
"1 JURONG WEST CENTRAL 2, SINGAPORE 648886",Retail,Large,No,2002.0,2016.0,Gold,Yes,51095.0,0.9000097856933164,99.0,,Water Cooled Chilled Water Plant,1.0,0.63,2014.0,45.0,N,509.67544280262257,519.8308053625599,512.2805020060671,Improved,3rd Quartile,Y,648886,1.33945200436319,103.706685012654,JURONG WEST
"5 STADIUM WALK, SINGAPORE 397693",Retail,Large,No,2009.0,,,No,25642.0,0.7066531471804072,95.0,,Water Cooled Chilled Water Plant,8.0,,,100.0,N,449.124639263708,458.5991049840106,421.54560837688166,Improved,3rd Quartile,Y,397693,1.30230108377856,103.876473975339,KALLANG
"33 ERSKINE ROAD, SINGAPORE 069333",Hotel,Small,No,2004.0,,,No,3038.0,1.0,80.0,80.0,"Others (Split Units, Unitary Systems)",3.0,,,50.0,N,445.1574522712311,430.947646477946,454.71890388413425,Worsened,Bottom Quartile,Y,069333,1.28082650192656,103.845399433815,OUTRAM
"10 WOODLANDS AVENUE 8, SINGAPORE 738973",Office,Large,Yes,2000.0,2014.0,Platinum,Yes,20175.0,0.1460718711276332,80.0,,"Others (Split Units, Unitary Systems)",5.0,,,100.0,Y,42.45104634448575,38.84934225526642,37.847514250309786,Improved,Top Quartile,Y,738973,1.45428714079221,103.800262079753,WOODLANDS
"238 THOMSON ROAD, SINGAPORE 307683",Office,Large,No,2000.0,2018.0,GoldPlus,Yes,69936.0,0.8516787271338038,100.0,,Water Cooled Chilled Water Plant,1.0,,,0.0,N,365.4260457408968,361.57579558453443,319.2903557538321,Improved,Bottom Quartile,Y,307683,1.32045851808392,103.843840430508,NOVENA
"5 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486038",Retail,Large,No,2011.0,2011.0,GoldPlus,Yes,28463.0,0.9837332677511155,100.0,,Water Cooled Chilled Water Plant,7.0,0.65,2011.0,15.0,N,490.43214875452344,459.361680075888,487.25128236658117,Worsened,3rd Quartile,Y,486038,1.33408359331373,103.962946083391,TAMPINES
"11 EAST COAST ROAD, SINGAPORE 428722",Retail,Small,No,1983.0,,,No,3717.0,1.0,100.0,,Water Cooled Chilled Water Plant,8.0,,,0.0,N,425.2432822168415,428.79897497982245,435.55306967984933,Worsened,3rd Quartile,Y,428722,1.30463559739894,103.901898309611,MARINE PARADE
"548 WOODLANDS DRIVE 44, SINGAPORE 730548",Retail,Small,Yes,1999.0,2011.0,Gold,Yes,11260.0,0.43019538188277084,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,467.3712904085258,471.38156394316167,461.5881172291297,Improved,3rd Quartile,Y,730548,1.43084006826605,103.793416329134,WOODLANDS
"1 JOO CHIAT ROAD, SINGAPORE 420001",Retail,Large,Yes,1982.0,2017.0,Platinum,Yes,25347.0,0.9074052156073698,100.0,,Water Cooled Chilled Water Plant,1.0,,,80.0,N,268.0682281926856,214.43171144514142,198.4462417643114,Improved,Top Quartile,Y,420001,1.31587653400999,103.898378099316,GEYLANG
"28 IRRAWADDY ROAD, SINGAPORE 329560",Office,Large,Yes,2001.0,,,No,99091.0,0.7816148792524044,100.0,,Water Cooled Chilled Water Plant,16.0,1.11,2013.0,50.0,N,378.2798881835888,348.6967010122009,345.0790788265332,Improved,Bottom Quartile,Y,329560,1.32424705197326,103.845062688126,NOVENA
"46 EAST COAST ROAD, SINGAPORE 428766",Office,Small,No,1999.0,,,No,7386.0,0.9409694015705389,100.0,,Air Cooled Chilled Water Plant,3.0,,,0.0,N,81.78308827511509,75.69338072028162,76.55639723801788,Worsened,Top Quartile,Y,428766,1.30438467017372,103.903338648502,MARINE PARADE
"120 ROBINSON ROAD, SINGAPORE 068913",Office,Small,No,2007.0,,,No,7428.0,0.910877759827679,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,236.6864297253635,206.4614633817986,181.16171917070545,Improved,3rd Quartile,Y,068913,1.27907635162327,103.848684034738,DOWNTOWN CORE
"22 MARTIN ROAD, SINGAPORE 239058",Office,Small,No,2012.0,,,No,3465.0,0.9004329004329005,90.0,,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,296.20957864357865,292.22980663780663,261.768303030303,Improved,Bottom Quartile,Y,239058,1.29188466066369,103.838507741772,RIVER VALLEY
"1 CUSCADEN ROAD, SINGAPORE 249715",Hotel,Large,No,1982.0,2008.0,GoldPlus,Yes,42483.0,0.6515782783701716,80.0,440.0,Water Cooled Chilled Water Plant,16.0,1.13,2015.0,35.0,N,300.95016830261517,294.802532777817,279.1310406515547,Improved,3rd Quartile,Y,249715,1.30465158301868,103.824907858738,ORCHARD
"151 BENCOOLEN STREET, SINGAPORE 189656",Private College,Small,No,2004.0,2014.0,Platinum,Yes,11587.0,0.5441442996461552,100.0,,Water Cooled Chilled Water Plant,1.0,,,18.0,N,131.45594200396997,115.45309398463796,134.68356779149047,Worsened,Not benchmarked,Y,189656,1.30129975903642,103.851960226693,ROCHOR
"38 BENCOOLEN STREET, SINGAPORE 189654",Private College,Small,No,2004.0,,,No,4931.0,0.5422835124721151,100.0,,"Others (Split Units, Unitary Systems)",12.0,,,15.0,N,128.56317177043195,120.36768403974854,141.7522814844859,Worsened,Not benchmarked,Y,189654,1.29870925104059,103.850556741936,ROCHOR
"80 BENCOOLEN STREET, SINGAPORE 189655",Private College,Large,No,2004.0,2012.0,Gold,Yes,21008.0,0.6526085300837776,100.0,,Water Cooled Chilled Water Plant,11.0,0.85,2011.0,1.0,N,210.9646325209444,231.8919997143945,267.273046458492,Worsened,Not benchmarked,Y,189655,1.30003103413786,103.851653495336,ROCHOR
"1 LORONG 8 GEYLANG, SINGAPORE 399073",Hotel,Small,No,1997.0,,,No,845.0,0.6923076923076923,75.0,41.0,"Others (Split Units, Unitary Systems)",2.0,,,5.0,N,178.19644970414203,187.13473372781067,182.58766863905325,Improved,Top Quartile,Y,399073,1.31181028184936,103.877164585055,GEYLANG
"50 CAMPBELL LANE, SINGAPORE 209922",Hotel,Small,No,2009.0,,,No,506.0,0.5928853754940712,50.0,10.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,104.47221343873518,99.02632411067194,58.19762845849802,Improved,Top Quartile,Y,209922,1.30499471454512,103.852641539292,ROCHOR
"799 NEW UPPER CHANGI ROAD, SINGAPORE 467351",Retail,Small,No,2010.0,2014.0,Gold,Yes,12412.0,0.6757976152110861,76.0,,Water Cooled Chilled Water Plant,8.0,0.6,2014.0,20.0,N,375.9763640025781,312.6213728649694,293.6031864324847,Improved,2nd Quartile,Y,467351,0,0,NA
"1 GRANGE ROAD, SINGAPORE 239693",Office,Small,No,1998.0,2018.0,Gold,Yes,13627.0,0.9367432303515081,100.0,,Water Cooled Chilled Water Plant,1.0,0.61,2018.0,95.0,N,433.13609841827764,343.03041021501434,263.19960372789313,Improved,Bottom Quartile,Y,239693,1.30139880165788,103.83735915836,ORCHARD
"1 AVIATION DRIVE, SINGAPORE 499867",Office,Large,Yes,1992.0,2015.0,Platinum,Yes,22368.0,0.5281205293276109,55.0,,Water Cooled Chilled Water Plant,2.0,0.63,2014.0,0.0,N,143.78559996423462,147.1569876609442,139.93910944206007,Improved,2nd Quartile,Y,499867,1.38831997107217,103.990313764139,CHANGI
"205 JALAN KAYU, SINGAPORE 799436",Nursing Home,Large,No,2003.0,,,No,18224.0,0.0757243195785777,87.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,68.71807945566286,88.2784800263389,88.42481892010535,Worsened,Not benchmarked,Y,799436,1.39450600350817,103.872454060287,SENGKANG
"541 ORCHARD ROAD, SINGAPORE 238881",Mixed Development,Large,No,1979.0,,,No,19209.0,0.7401218178978604,100.0,,Water Cooled Chilled Water Plant,1.0,0.59,2018.0,100.0,N,307.5233929483904,283.71187672445205,238.9390447186215,Improved,2nd Quartile,Y,238881,1.30508722710852,103.830722581168,ORCHARD
"273 BRADDELL ROAD, SINGAPORE 579702",Office,Large,Yes,2009.0,,,No,20211.0,0.34877047152540697,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,66.92222057295533,64.96165454455495,60.35183810796101,Improved,Top Quartile,Y,579702,1.34287129652736,103.852359381591,TOA PAYOH
"101 SILOSO ROAD, SINGAPORE 098970",Hotel,Large,No,1993.0,,,No,42009.0,0.8569592230236378,87.0,454.0,Water Cooled Chilled Water Plant,10.0,0.73,2017.0,30.0,N,267.0531807469828,268.07590040229474,273.5636649289438,Worsened,3rd Quartile,Y,098970,1.25761264764959,103.810143172769,SOUTHERN ISLANDS
"120 CANTONMENT ROAD, SINGAPORE 089760",Office,Small,Yes,1973.0,,,No,7428.0,0.4927302100161551,90.0,46.0,"Others (Split Units, Unitary Systems)",4.0,,,40.0,Y,124.319514001077,121.32902127086699,119.60026117393646,Improved,Top Quartile,Y,089760,1.27665188699021,103.840365711835,BUKIT MERAH
"181 KITCHENER ROAD, SINGAPORE 208533",Hotel,Large,No,1981.0,2014.0,Platinum,Yes,37721.0,0.8403806898014369,85.0,534.0,Water Cooled Chilled Water Plant,1.0,0.64,2014.0,74.0,N,182.4236340499987,180.2964287797248,180.80202778293258,Worsened,Top Quartile,Y,208533,1.31051681728548,103.855664683346,KALLANG
"3 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486037",Hotel,Large,No,2012.0,2012.0,GoldPlus,Yes,18975.0,0.8550197628458498,85.0,313.0,Water Cooled Chilled Water Plant,6.0,0.64,2014.0,100.0,N,243.72351778656127,245.0062255599473,245.5251978919631,Worsened,2nd Quartile,Y,486037,1.33410449991775,103.963712616735,TAMPINES
"16 SCOTTS ROAD, SINGAPORE 228221",Hotel,Large,No,1900.0,,,No,29616.0,0.8999864937871421,90.0,233.0,Water Cooled Chilled Water Plant,3.0,0.67,2017.0,83.0,N,305.7366423554835,279.1953673689897,246.58557874122096,Improved,2nd Quartile,Y,228221,1.30771173944605,103.834556167895,ORCHARD
"321 ALEXANDRA ROAD, SINGAPORE 159971",Retail,Small,No,2014.0,2014.0,Certified,Yes,8677.0,0.20260458683876917,60.0,,Water Cooled Chilled Water Plant,3.0,0.63,2016.0,0.0,N,550.9008885559525,585.2136971303446,582.2340209749913,Improved,Bottom Quartile,Y,159971,1.28728320930592,103.805283367958,BUKIT MERAH
"820 THOMSON ROAD, SINGAPORE 574623",Private Hospital (Private),Large,No,1961.0,2014.0,Certified,Yes,39487.0,0.8828981690176514,95.0,,Water Cooled Chilled Water Plant,2.0,,,30.0,N,295.102605920936,289.1021855294147,300.4827664801074,Worsened,Not benchmarked,Y,574623,1.34148243752577,103.837606023405,TOA PAYOH
"38 UPPER CROSS STREET, SINGAPORE 058341",Hotel,Small,No,1900.0,,,No,1299.0,1.0,80.0,25.0,"Others (Split Units, Unitary Systems)",13.0,,,50.0,N,169.69103926096997,200.95256351039262,226.9219784449577,Worsened,2nd Quartile,Y,058341,1.2841545275185,103.84486289602,OUTRAM
"3151 COMMONWEALTH AVENUE WEST, SINGAPORE 129581",Retail,Small,No,2009.0,,,No,4343.0,0.8058945429426664,95.0,,"Others (Split Units, Unitary Systems)",2009.0,,,90.0,N,420.08246242774567,373.1625765599816,385.6115288970758,Worsened,3rd Quartile,Y,129581,1.31427043922294,103.765147487482,CLEMENTI
"51 IMBIAH WALK, SINGAPORE 099538",Hotel,Large,No,2006.0,,,No,8651.0,0.7777135591261126,68.0,196.0,Water Cooled Chilled Water Plant,3.0,0.86,2014.0,20.0,N,260.58192116518325,261.531284244596,260.9258409432436,Improved,2nd Quartile,Y,099538,1.25438420585124,103.814765752204,SOUTHERN ISLANDS
"1207 DOVER ROAD, SINGAPORE 139654",Private School,Large,No,1900.0,2016.0,Platinum,Yes,87829.0,0.5692880483667125,100.0,,Water Cooled Chilled Water Plant,11.0,0.63,2016.0,18.0,Y,76.94842990356261,73.16941363331019,69.43602249826367,Improved,Not benchmarked,Y,139654,1.30302017267241,103.775160504087,QUEENSTOWN
"1 TAMPINES STREET 73, SINGAPORE 528704",Private College,Large,No,2011.0,2015.0,Platinum,Yes,76000.0,0.9274473684210527,100.0,,Water Cooled Chilled Water Plant,5.0,0.59,2015.0,25.0,N,75.05625986842105,74.41959868421053,71.84180921052632,Improved,Not benchmarked,Y,528704,1.35809194415808,103.931291869237,TAMPINES
"8 SINARAN DRIVE, SINGAPORE 307470",Hotel,Large,No,2011.0,,,No,22765.0,0.8517461014715572,85.0,428.0,Water Cooled Chilled Water Plant,5.0,,,100.0,N,379.81718251702176,376.32611464968153,357.4905424994509,Improved,Bottom Quartile,Y,307470,1.32003005012669,103.844782386745,NOVENA
"21 BIOPOLIS ROAD, SINGAPORE 138567",Office,Large,No,2014.0,2012.0,Gold,Yes,39649.0,0.9127090216651114,85.0,,District Cooling Plant,4.0,,,20.0,N,102.65446401325254,128.46411006582764,155.67108880425735,Worsened,Not benchmarked,Y,138567,1.30149477268515,103.791969807034,QUEENSTOWN
"11 UNITY STREET, SINGAPORE 237995",Hotel,Large,No,1998.0,,,No,30784.0,0.7184901247401247,85.0,164.0,Water Cooled Chilled Water Plant,20.0,1.59,2012.0,100.0,N,394.62232838380646,274.8880587318087,266.13442047817045,Improved,3rd Quartile,Y,237995,1.29198845518713,103.841198727907,SINGAPORE RIVER
"9 WOODLANDS AVENUE 9, SINGAPORE 738964",Polytechnic,Large,No,2005.0,2006.0,Platinum,Yes,213343.0,0.7999802449624654,100.0,,Water Cooled Chilled Water Plant,13.0,,,0.0,N,131.5772806556437,149.8638952297474,145.0844086752319,Improved,Not benchmarked,Y,738964,1.44378204421843,103.784318833308,WOODLANDS
"16 COLLEGE AVENUE WEST, SINGAPORE 138527",Univerisity,Large,No,2015.0,2018.0,Platinum,Yes,63238.0,0.44277175116227585,90.0,,District Cooling Plant,0.0,,,94.0,N,,,,Improved,Not benchmarked,Y,138527,1.30630452078538,103.771789872765,QUEENSTOWN
"1 EXPO DRIVE, SINGAPORE 486150",Retail,Large,No,1999.0,,,No,170288.0,0.6994562153528141,43.0,,Water Cooled Chilled Water Plant,18.0,,,80.0,N,128.54275404021422,112.24455921732594,82.99045881095556,Improved,Top Quartile,Y,486150,1.33559509073581,103.960988706454,TAMPINES
"12 INTERNATIONAL BUSINESS PARK, SINGAPORE 609920",Office,Small,No,1992.0,,,No,10841.0,0.8081357808320265,100.0,,Water Cooled Packaged Unit,15.0,,,40.0,N,189.65909417950374,137.8132303293054,85.27903329951111,Improved,Top Quartile,Y,609920,1.32446930397057,103.749438814247,JURONG EAST
"231 MOUNTBATTEN ROAD, SINGAPORE 397999",Private School,Small,No,1951.0,,,No,9384.0,1.0,95.0,,"Others (Split Units, Unitary Systems)",2.0,,,20.0,N,172.85645780051152,107.61637681159421,149.35329390451832,Worsened,Not benchmarked,Y,397999,1.30809319628825,103.880834672978,GEYLANG
"140 ROBINSON ROAD, SINGAPORE 068907",Office,Small,No,2016.0,,,No,9453.0,0.06653972283931027,65.0,,"Others (Split Units, Unitary Systems)",1.0,,,50.0,N,6.545964244155295,86.46938538030254,111.18421030360733,Worsened,Top Quartile,Y,068907,1.27840697711555,103.848235943353,DOWNTOWN CORE
"176 TYRWHITT ROAD, SINGAPORE 207576",Hotel,Small,No,2013.0,,,No,1756.0,0.9681093394077449,77.0,109.0,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,316.34733485193624,337.51258542141227,361.47819476082003,Worsened,Bottom Quartile,Y,207576,1.31200023384111,103.860855699234,KALLANG
"35 CHAI CHEE STREET, SINGAPORE 468984",Nursing Home,Small,No,2018.0,2016.0,Platinum,Yes,12900.0,0.11542635658914728,90.0,,"Others (Split Units, Unitary Systems)",2.0,,,5.0,N,5.329069767441861,52.089620930232556,87.21297209302327,Worsened,Not benchmarked,Y,468984,1.32805675950308,103.92165835022,BEDOK
"303 HENDERSON ROAD, SINGAPORE 108925",Nursing Home,Small,No,2016.0,2016.0,Certified,Yes,9520.0,0.14138655462184874,100.0,,"Others (Split Units, Unitary Systems)",2.0,,,7.0,N,5.903886554621849,56.10558403361344,88.81780462184874,Worsened,Not benchmarked,Y,108925,1.27103518348804,103.81208384881,BUKIT MERAH
